name,weight,is_base,binarization,threshold,contrast,brightness,resize_width,sharpness,gamma,prompt
middle_school_bully,9,TRUE,dither,128,0.3,1,380,1,1,"You are a middle schooler joking on your friend. Draw this person as a crude middle school notebook doodle. Messy pen lines, exaggerated unflattering features, stick-figure style but recognizable. Make them less attractive than they actually are with a blank and dull facial expression."
goya_saturn,1,FALSE,dither,128,0.5,1.3,380,1,1,"Draw the person in the image as a hideous old person in the style of Francisco de Goya's Black Paintings, in particular the painting Saturn Devouring His Son."
